                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4424,                 1.0592,                 1.6572,                0.97625,                0.90909,                0.90531,                0.47986,                 1.7842,                 1.5011,                 2.1091,               0.001307,               0.001307,               0.001307
                     37,                 1.3381,                 1.0764,                 1.7002,                0.89874,                0.90909,                0.89717,                0.46273,                 1.7583,                  1.373,                 2.0485,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3248,                 1.0716,                 1.6793,                0.72559,                0.90909,                0.83192,                0.47515,                 1.6498,                 1.5642,                 1.9515,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1845,                  0.983,                 1.6303,                0.64198,                0.65321,                0.77698,                0.41121,                 1.8233,                 2.0247,                 1.9953,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2019,                0.97309,                 1.6442,                0.87566,                0.90909,                0.90555,                0.49898,                 1.7696,                  1.497,                 1.9954,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1478,                0.96515,                   1.58,                0.98544,                0.90909,                0.90554,                0.45532,                  1.745,                 1.3008,                 1.9381,               0.001208,               0.001208,               0.001208
                     42,                 1.1977,                0.98226,                 1.5349,                      1,                0.89457,                0.90553,                0.52072,                 1.6074,                 1.2312,                 1.9144,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2142,                 1.0508,                  1.579,                      1,                0.89571,                 0.9056,                0.48167,                 1.7055,                   1.31,                 2.0175,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1627,                0.94267,                 1.4949,                      1,                0.89655,                0.90564,                0.52267,                 1.7255,                 1.3833,                 1.9357,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0202,                  1.112,                 1.3477,                      1,                   0.88,                0.90559,                0.53443,                 1.6643,                 1.3535,                 1.8699,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1865,                0.93766,                 1.5477,                0.97982,                0.90909,                0.90553,                0.50941,                 1.7036,                 1.3768,                 1.8482,               0.001109,               0.001109,               0.001109
                     47,                0.95416,                 1.0689,                 1.2843,                      1,                 0.8964,                 0.9056,                0.49854,                 1.7806,                 1.4128,                 1.8956,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0764,                0.80468,                 1.5033,                0.99683,                0.81818,                0.81697,                0.42094,                  2.133,                 1.5097,                 2.2447,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2286,                0.95391,                 1.5211,                 0.9951,                0.81818,                0.81696,                0.46771,                  2.007,                 1.5489,                 2.1558,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2479,                0.85829,                 1.5029,                      1,                0.81134,                0.88491,                0.50789,                  1.793,                 1.5098,                 1.8863,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1449,                0.90621,                  1.494,                0.98229,                0.81818,                0.89062,                0.53302,                 1.7953,                 1.3391,                 1.8967,                0.00101,                0.00101,                0.00101
                     52,                 1.1597,                0.86877,                 1.4819,                0.98052,                0.81818,                0.81701,                0.49713,                 1.9456,                 1.2543,                 2.0664,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0448,                0.85119,                 1.4768,                      1,                0.88942,                0.90563,                0.49301,                 1.8806,                 1.2486,                 1.9795,              0.0009704,              0.0009704,              0.0009704
                     54,                0.90794,                 1.1633,                 1.2364,                      1,                0.89037,                0.90562,                0.51955,                 1.7713,                 1.2616,                 1.9053,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0214,                0.79236,                 1.5228,                0.87994,                0.90909,                0.89737,                0.51547,                 1.7955,                 1.1976,                 1.9225,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0336,                0.80542,                 1.4149,                0.90053,                0.90909,                0.89732,                0.51326,                 1.7396,                 1.1731,                 1.8355,               0.000911,               0.000911,               0.000911
                     57,                 1.0047,                0.75576,                  1.371,                0.87963,                0.90909,                0.88914,                0.47931,                 1.7799,                 1.2127,                 1.9162,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0222,                0.78874,                  1.424,                      1,                0.80134,                0.82875,                0.52941,                 1.7068,                 1.1546,                 1.9014,              0.0008714,              0.0008714,              0.0008714
                     59,                  0.892,                0.76995,                  1.413,                0.98843,                0.72727,                0.87082,                0.51485,                 1.7098,                 1.3199,                 1.8683,              0.0008516,              0.0008516,              0.0008516
                     60,                0.86029,                 1.0248,                 1.2046,                0.90899,                0.90909,                0.90558,                0.54366,                 1.6738,                 1.2055,                 1.8737,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1752,                0.90851,                 1.5903,                0.87242,                0.90909,                0.88924,                0.56917,                 1.6604,                 1.2918,                 1.8777,               0.000812,               0.000812,               0.000812
                     62,                 1.0439,                0.87134,                 1.4349,                 0.9086,                0.90418,                0.88925,                0.59834,                 1.6002,                 1.2594,                 1.7783,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0095,                0.81772,                 1.4828,                0.94636,                0.81818,                0.88478,                0.54958,                 1.5851,                 1.1041,                 1.8024,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0494,                0.81311,                 1.4707,                0.99575,                0.81818,                0.87986,                0.53212,                 1.5297,                 1.0818,                 1.7263,              0.0007526,              0.0007526,              0.0007526
                     65,                0.90971,                0.70066,                 1.3498,                 0.9887,                0.81818,                0.89063,                0.53642,                 1.6102,                 1.0658,                 1.7609,              0.0007328,              0.0007328,              0.0007328
                     66,                0.96353,                0.73692,                   1.34,                0.98254,                0.81818,                 0.8975,                0.52538,                 1.6524,                 1.0418,                 1.7507,               0.000713,               0.000713,               0.000713
